input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,"output_item_num_reviews
"
Toys,Hobbies,30,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,30,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,30,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,30,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,30,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,30,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,30,b'Preiser 10552 Hunters',1
Toys,Hobbies,30,b'Preiser 10552 Hunters',1
Toys,Hobbies,30,b'Preiser 10552 Hunters',1
Toys,Hobbies,30,b'Preiser 10552 Hunters',1
Toys,Hobbies,30,b'Preiser 10552 Hunters',1
Toys,Hobbies,30,b'Preiser 10552 Hunters',1
Toys,Hobbies,30,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,30,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,30,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,30,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,30,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,30,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,30,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,30,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,30,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,30,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,30,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,30,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,30,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,30,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,30,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,30,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,30,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,30,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,30,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,30,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,30,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,30,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,30,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,30,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,30,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,30,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,30,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,30,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,30,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,30,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,30,"b'Brand New Upgrade LED Voltage / Time Parallel Multi 3 Batteries Charger Board Charging Plate for DJI Inspire 1 Quadcopter TB47 4500mAh, TB48 5700mAh Battery'",1
Toys,Hobbies,30,b'Kid O Air Plane Blue',1
Toys,Hobbies,30,b'Kid O Air Plane Blue',1
Toys,Hobbies,30,b'Kid O Air Plane Blue',1
Toys,Hobbies,30,"b'[Wacky Wobbler] ""The Amazing Spider-Man"" Spider-Man (japan import)'",1
Toys,Hobbies,30,"b'[Wacky Wobbler] ""The Amazing Spider-Man"" Spider-Man (japan import)'",1
Toys,Hobbies,30,"b'[Wacky Wobbler] ""The Amazing Spider-Man"" Spider-Man (japan import)'",1
Toys,Hobbies,30,"b'[Wacky Wobbler] ""The Amazing Spider-Man"" Spider-Man (japan import)'",1
Toys,Hobbies,30,"b'[Wacky Wobbler] ""The Amazing Spider-Man"" Spider-Man (japan import)'",1
Toys,Hobbies,30,"b'[Wacky Wobbler] ""The Amazing Spider-Man"" Spider-Man (japan import)'",1
Toys,Hobbies,30,b'Scalextric C3312 MGB 1:32 Scale Slot Car',2
Toys,Hobbies,30,b'Scalextric C3312 MGB 1:32 Scale Slot Car',2
Toys,Hobbies,30,b'Scalextric C3312 MGB 1:32 Scale Slot Car',2
Toys,Hobbies,30,b'Scalextric C3312 MGB 1:32 Scale Slot Car',2
Toys,Hobbies,30,b'Scalextric C3312 MGB 1:32 Scale Slot Car',2
Toys,Hobbies,30,b'Scalextric C3312 MGB 1:32 Scale Slot Car',2
Toys,Hobbies,30,b'CARRERA RC 370162052 Turnator 2.4GHz (RTR)',3
Toys,Hobbies,30,b'CARRERA RC 370162052 Turnator 2.4GHz (RTR)',3
Toys,Hobbies,30,b'CARRERA RC 370162052 Turnator 2.4GHz (RTR)',3
Toys,Hobbies,30,b'CARRERA RC 370162052 Turnator 2.4GHz (RTR)',3
Toys,Hobbies,30,b'CARRERA RC 370162052 Turnator 2.4GHz (RTR)',3
Toys,Hobbies,30,b'CARRERA RC 370162052 Turnator 2.4GHz (RTR)',3
Toys,Hobbies,30,b'Deoxys-Ex Tin Promo [Toy]',1
Toys,Hobbies,30,b'Deoxys-Ex Tin Promo [Toy]',1
Toys,Hobbies,30,b'Deoxys-Ex Tin Promo [Toy]',1
Toys,Hobbies,30,b'Deoxys-Ex Tin Promo [Toy]',1
Toys,Hobbies,30,b'Deoxys-Ex Tin Promo [Toy]',1
Toys,Hobbies,30,b'Deoxys-Ex Tin Promo [Toy]',1
Toys,Hobbies,30,b'Kotobukiya Kotobukiya Dc Comics: Supergirl Bishoujo Statue',1
Toys,Hobbies,30,b'Kotobukiya Kotobukiya Dc Comics: Supergirl Bishoujo Statue',1
Toys,Hobbies,30,b'Kotobukiya Kotobukiya Dc Comics: Supergirl Bishoujo Statue',1
Toys,Hobbies,30,b'Kotobukiya Kotobukiya Dc Comics: Supergirl Bishoujo Statue',1
Toys,Hobbies,30,b'Kotobukiya Kotobukiya Dc Comics: Supergirl Bishoujo Statue',1
Toys,Hobbies,30,b'Kotobukiya Kotobukiya Dc Comics: Supergirl Bishoujo Statue',1
Toys,Hobbies,30,b'The Venture Bros. The Monarch Bobble Head',1
Toys,Hobbies,30,b'The Venture Bros. The Monarch Bobble Head',1
Toys,Hobbies,30,b'The Venture Bros. The Monarch Bobble Head',1
Toys,Hobbies,30,b'The Venture Bros. The Monarch Bobble Head',1
Toys,Hobbies,30,b'The Venture Bros. The Monarch Bobble Head',1
Toys,Hobbies,30,b'The Venture Bros. The Monarch Bobble Head',1
Toys,Hobbies,30,"b'[ New Release ] Diy Oil Painting by Numbers, Paint by Number Kits - Age-old Steam Locomotive 16*20 inches - Digital Oil Painting Canvas Wall Art Artwork Landscape Paintings for Home Living Room Office Christmas Decor Decorations Gifts - Diy Paint by Numbers Diy Canvas Kit for Adults Advanced Children Seniors Junior - New Arrival - No. D186'",1
Toys,Hobbies,30,"b'[ New Release ] Diy Oil Painting by Numbers, Paint by Number Kits - Age-old Steam Locomotive 16*20 inches - Digital Oil Painting Canvas Wall Art Artwork Landscape Paintings for Home Living Room Office Christmas Decor Decorations Gifts - Diy Paint by Numbers Diy Canvas Kit for Adults Advanced Children Seniors Junior - New Arrival - No. D186'",1
Toys,Hobbies,30,"b'[ New Release ] Diy Oil Painting by Numbers, Paint by Number Kits - Age-old Steam Locomotive 16*20 inches - Digital Oil Painting Canvas Wall Art Artwork Landscape Paintings for Home Living Room Office Christmas Decor Decorations Gifts - Diy Paint by Numbers Diy Canvas Kit for Adults Advanced Children Seniors Junior - New Arrival - No. D186'",1
Toys,Hobbies,30,"b'[ New Release ] Diy Oil Painting by Numbers, Paint by Number Kits - Age-old Steam Locomotive 16*20 inches - Digital Oil Painting Canvas Wall Art Artwork Landscape Paintings for Home Living Room Office Christmas Decor Decorations Gifts - Diy Paint by Numbers Diy Canvas Kit for Adults Advanced Children Seniors Junior - New Arrival - No. D186'",1
Toys,Hobbies,30,"b'[ New Release ] Diy Oil Painting by Numbers, Paint by Number Kits - Age-old Steam Locomotive 16*20 inches - Digital Oil Painting Canvas Wall Art Artwork Landscape Paintings for Home Living Room Office Christmas Decor Decorations Gifts - Diy Paint by Numbers Diy Canvas Kit for Adults Advanced Children Seniors Junior - New Arrival - No. D186'",1
Toys,Hobbies,30,"b'[ New Release ] Diy Oil Painting by Numbers, Paint by Number Kits - Age-old Steam Locomotive 16*20 inches - Digital Oil Painting Canvas Wall Art Artwork Landscape Paintings for Home Living Room Office Christmas Decor Decorations Gifts - Diy Paint by Numbers Diy Canvas Kit for Adults Advanced Children Seniors Junior - New Arrival - No. D186'",1
Toys,Hobbies,30,b'Cheerson CX-10W CX10W Mini Wifi FPV With 720P Camera 2.4G 4CH 6 Axis LED RC Quadcopter (Dark Grey BNF)',1
Toys,Hobbies,30,b'Cheerson CX-10W CX10W Mini Wifi FPV With 720P Camera 2.4G 4CH 6 Axis LED RC Quadcopter (Dark Grey BNF)',1
Toys,Hobbies,30,b'Cheerson CX-10W CX10W Mini Wifi FPV With 720P Camera 2.4G 4CH 6 Axis LED RC Quadcopter (Dark Grey BNF)',1
Toys,Hobbies,30,b'Cheerson CX-10W CX10W Mini Wifi FPV With 720P Camera 2.4G 4CH 6 Axis LED RC Quadcopter (Dark Grey BNF)',1
Toys,Hobbies,30,b'Cheerson CX-10W CX10W Mini Wifi FPV With 720P Camera 2.4G 4CH 6 Axis LED RC Quadcopter (Dark Grey BNF)',1
Toys,Hobbies,30,b'Cheerson CX-10W CX10W Mini Wifi FPV With 720P Camera 2.4G 4CH 6 Axis LED RC Quadcopter (Dark Grey BNF)',1
Toys,Hobbies,30,b'Plastic Soldier 1/72 Russian T34 76/85 WWII # 22001',1
Toys,Hobbies,30,b'Plastic Soldier 1/72 Russian T34 76/85 WWII # 22001',1
Toys,Hobbies,30,b'Plastic Soldier 1/72 Russian T34 76/85 WWII # 22001',1
Toys,Hobbies,30,b'Plastic Soldier 1/72 Russian T34 76/85 WWII # 22001',1
Toys,Hobbies,30,b'Plastic Soldier 1/72 Russian T34 76/85 WWII # 22001',1
Toys,Hobbies,30,b'Plastic Soldier 1/72 Russian T34 76/85 WWII # 22001',1
Toys,Hobbies,30,b'Max Protection Resealable TEAM BAGS - Pack of 100',1
Toys,Hobbies,30,b'Max Protection Resealable TEAM BAGS - Pack of 100',1
Toys,Hobbies,30,b'Max Protection Resealable TEAM BAGS - Pack of 100',1
Toys,Hobbies,30,b'Max Protection Resealable TEAM BAGS - Pack of 100',1
Toys,Hobbies,30,b'Max Protection Resealable TEAM BAGS - Pack of 100',1
Toys,Hobbies,30,b'Max Protection Resealable TEAM BAGS - Pack of 100',1
Toys,Hobbies,30,b'Star Wars Filled Desk Tidy',1
Toys,Hobbies,30,b'Star Wars Filled Desk Tidy',1
Toys,Hobbies,30,b'Star Wars Filled Desk Tidy',1
Toys,Hobbies,30,b'Star Wars Filled Desk Tidy',1
Toys,Hobbies,30,b'Star Wars Filled Desk Tidy',1
Toys,Hobbies,30,b'Star Wars Filled Desk Tidy',1
Toys,Hobbies,30,"b""Disney Planes Fire & Rescue Deluxe Diecast Vehicle - Blazin' Blade Ranger""",1
Toys,Hobbies,30,"b""Disney Planes Fire & Rescue Deluxe Diecast Vehicle - Blazin' Blade Ranger""",1
Toys,Hobbies,30,"b""Disney Planes Fire & Rescue Deluxe Diecast Vehicle - Blazin' Blade Ranger""",1
Toys,Hobbies,30,"b""Disney Planes Fire & Rescue Deluxe Diecast Vehicle - Blazin' Blade Ranger""",1
Toys,Hobbies,30,"b""Disney Planes Fire & Rescue Deluxe Diecast Vehicle - Blazin' Blade Ranger""",1
Toys,Hobbies,30,"b""Disney Planes Fire & Rescue Deluxe Diecast Vehicle - Blazin' Blade Ranger""",1
Toys,Hobbies,30,b'Metal Earth: T-34 Tank',1
Toys,Hobbies,30,b'Metal Earth: T-34 Tank',1
Toys,Hobbies,30,b'Metal Earth: T-34 Tank',1
Toys,Hobbies,30,b'Metal Earth: T-34 Tank',1
Toys,Hobbies,30,b'Metal Earth: T-34 Tank',1
Toys,Hobbies,30,b'Metal Earth: T-34 Tank',1
Toys,Hobbies,30,b'Funko Pop! Star Wars Bossk Vinyl Bobblehead Figure',1
Toys,Hobbies,30,b'Funko Pop! Star Wars Bossk Vinyl Bobblehead Figure',1
Toys,Hobbies,30,b'Funko Pop! Star Wars Bossk Vinyl Bobblehead Figure',1
Toys,Hobbies,30,b'Funko Pop! Star Wars Bossk Vinyl Bobblehead Figure',1
Toys,Hobbies,30,b'Funko Pop! Star Wars Bossk Vinyl Bobblehead Figure',1
Toys,Hobbies,30,b'Funko Pop! Star Wars Bossk Vinyl Bobblehead Figure',1
Toys,Hobbies,30,"b'AquaPlay 375, Construction Castle'",1
Toys,Hobbies,30,"b'AquaPlay 375, Construction Castle'",1
Toys,Hobbies,30,"b'AquaPlay 375, Construction Castle'",1
Toys,Hobbies,30,"b'AquaPlay 375, Construction Castle'",1
Toys,Hobbies,30,"b'AquaPlay 375, Construction Castle'",1
Toys,Hobbies,30,"b'AquaPlay 375, Construction Castle'",1
